datasetid,recordid,record_timestamp,fields.last_updated,fields.ad_station,fields.geo_point_2d,fields.statut_pdc,fields.postal_code,fields.id_pdc,fields.url_description_pdc,geometry.type,geometry.coordinates
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,58cf33490bc5823d7cd9f6e86672058fd0e1813e,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"55 Rue Monge, 75005 Paris","[48.84477, 2.35242]",Disponible,75005,FR*V75*E9005*02*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9005*02*1,Point,"[2.35242, 48.84477]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,d3c305060bf067d9f5ffa82552fbc341aa816134,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"20 Rue de Sevres, 75006 Paris","[48.851025, 2.326367]",Disponible,75006,FR*V75*E9006*04*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9006*04*3,Point,"[2.326367, 48.851025]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,b52e188b63a0cc6a94d2ef02e8954ccb15b48936,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"145 Rue de Tolbiac, 75013 Paris","[48.82604, 2.358146]",Disponible,75013,FR*V75*E9013*05*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9013*05*2,Point,"[2.358146, 48.82604]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,a89f2c75961763acc5c389fabf6bee69ca54322e,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"21 Rue Theophraste Renaudot, 75015 Paris","[48.841286, 2.296744]",En maintenance,75015,FR*V75*E9015*07*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9015*07*1,Point,"[2.296744, 48.841286]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,7c321fe3bbf598f84bb1c84fdaaa851bce84d8f5,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"77 Avenue de la Grande Armée, 75016 Paris","[48.876163, 2.286403]",Disponible,75016,FR*V75*E9016*01*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*01*2,Point,"[2.286403, 48.876163]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,7a287734773b67a06731631bd57968be99345009,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"60 Avenue de Saint-Ouen, 75018 Paris","[48.8911, 2.327102]",Disponible,75018,FR*V75*E9018*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*01*3,Point,"[2.327102, 48.8911]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,d41089d80beaac2f79c2d6a1658343dfa6577b17,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"62 Jean-Jacques Rousseau, 75001 Paris","[48.86409, 2.3437343]",En maintenance,75001,FR*V75*EPX01*02*4,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX01*02*4,Point,"[2.3437343, 48.86409]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,fcd87f4e5653ecfe1f49932d068781fd52d4e24d,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"25 Rue de la Plaine, 75020 Paris","[48.85006, 2.4019644]",En cours de mise en service,75020,FR*V75*EPX20*01*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*01*1,Point,"[2.4019644, 48.85006]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,6930dbca0d08ad34ad91f6b41566c24185243198,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"204 Rue Saint-Martin, 75003 Paris","[48.86334, 2.3526978]",En maintenance,75003,FR*V75*EPX03*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX03*01*3,Point,"[2.3526978, 48.86334]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,2b1fcf669d9f3490852132ec2bf0c5cc082abbf2,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"9 Rue Lobineau, 75006 Paris","[48.8516, 2.3361368]",En maintenance,75006,FR*V75*EPX06*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX06*01*3,Point,"[2.3361368, 48.8516]"
